ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_1st_Choice,Q3_2nd,Q4_Rate_condition_of_your_neighborhood,Q6_Services/Facility_used_past_12_mo,Q6_2nd_,Q6_3rd_,Q6_4th_,Q6_5th_,Q6_6th_,Q6_7th_,Q6_8th_,Q6_9th_,Q6-10th_,Q6-11th_,Q6_12th_,Q6_13th_,Q6_14th_,Q6_15th_,Q7a_Quality_of_larger_City_parks,Q7b_Recreaction/multigen_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_Center_for_the_Arts,Q7i_Tempe_History_Museum,Q7j_Library_facilities,Q7k_Disability_access_to_City_programs,Q8_1st_Choice,Q8_2nd,Q9a_Library_services,Q9b_Condition_of_City_streets,Q9c_Condition_and_clarity_street_signs,Q9d_Local_transit_service,Q9e_Management_of_traffic_flow,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maintenance_sreet/sidewalk,Q9j_Appearance_residental_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_services,Q9p_Water_service,Q9q_Local_police_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_by_City_to_prevent_crime,Q9u_Recreation_programs/services,Q9v_Maintenance_city_parks,Q10_1st_Choice,Q10_2nd,Q10_3rd,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_1st_Choice,Q12_2nd,Q12_3rd,Q13_Get_information_do_you_use,Q13__2nd,Q13__3rd,Q13__4th,Q13__5th,Q13__6th,Q13__7th,Q13__8th,Q13__9th,Q13_10th,Q13_11th,Q13a_1st_Choice,Q13a_2nd,Q13a_3rd,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded_to_request,Q14f_How_well_issue_was_handled,Q15_1st_Priority,Q15__2nd,Q15__3rd,Q15__4th,Q15__5th,Q15__6th,Q15__7th,Q15__8th,Q18a_How_many_years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_year,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18j-Have_internet_access_home,Q1j-A_smart_phone,Q18k_Visited_downtown_during_past_year,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Q18l_Other,Q1_Attend_events_downtownand_the_Lake,Q1a_How_many_times_attended_Downtown,Q1a-Town_Lake,Q2_Impact_special_events_have_community,Q5_How_satisfied_with_events,Q6_Long_range_planning,Q6__2nd,Q6__3rd,Q6__4th,Q6__5th,Q6__6th,Q6__7th,Q6__8th,Q6__9th,Q6_10th,Q6_11th,Q6_Other,Zip,OBJECTID
187,4,4.0,4,2,4,4,3,3,3,3,4,9,3,4,4,4,4,9,4,2,4,F,A,4,2,3.0,4.0,11.0,12.0,,,,,,,,,,,4.0,9,9,9,9,9,9,5,4,4,9,J,A,2,4,4,5,4,5,4,9,3,3,3,4,4,4,9,4,5,4,5,4,9,4,T,A,D,0,,,,,,,,,0,,,7.0,8.0,9.0,,,,,,,,,7,8.0,9.0,2,,,,,,3.0,10.0,,,,,,,4,6,2,1,2,1,2,5,1,1,1,2,1,2,,,,,,1,2.0,4.0,4,4.0,7.0,,,,,,,,,,,,85281.0,186
188,4,4.0,4,3,4,4,9,9,4,4,3,3,4,4,4,4,4,9,4,4,4,B,F,4,2,3.0,4.0,,,,,,,,,,,,,4.0,9,9,4,9,9,9,4,9,4,9,Z,,4,4,4,9,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,9,4,Z,,,0,,,,,,,,,0,,,7.0,8.0,9.0,11.0,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,3.0,8.0,12.0,,,,,,,4,5,1,1,2,1,2,5,1,1,1,1,1,2,,,,,,2,,,4,3.0,1.0,2.0,11.0,,,,,,,,,KEEP TAXES LOW           ,85284.0,187
189,5,5.0,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,5,5,5,A,C,4,6,12.0,,,,,,,,,,,,,,5.0,5,5,5,5,4,9,5,9,9,5,Z,,5,4,4,4,3,4,4,3,3,4,4,4,9,9,9,9,4,4,4,4,4,5,Z,,,0,,,,,,,,,7,4.0,6.0,5.0,7.0,,,,,,,,,,5,6.0,8.0,1,4.0,5.0,5.0,5.0,3.0,6.0,,,,,,,,5,6,1,1,2,1,1,4,9,2,1,2,1,2,,,,,,2,,,4,3.0,2.0,4.0,,,,,,,,,,,85281.0,188
190,4,4.0,4,3,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5,5,A,B,5,2,3.0,4.0,6.0,11.0,,,,,,,,,,,4.0,9,9,3,3,3,9,9,9,4,9,Z,,4,3,4,4,4,4,3,2,3,3,3,4,4,5,4,4,4,4,4,4,4,4,B,H,I,0,,,,,,,,,0,,,2.0,5.0,9.0,,,,,,,,,0,,,1,5.0,4.0,4.0,4.0,4.0,3.0,11.0,,,,,,,5,4,1,1,2,1,2,4,1,1,1,2,1,2,,,,,,1,0.0,1.0,5,4.0,1.0,4.0,7.0,,,,,,,,,,85284.0,189
191,4,5.0,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,9,4,4,4,E,C,4,4,14.0,,,,,,,,,,,,,,4.0,4,4,4,4,4,4,4,4,4,4,Z,,5,4,5,4,4,4,5,4,4,3,3,2,5,5,5,5,5,5,5,5,5,5,L,H,J,0,,,,,,,,,6,1.0,7.0,2.0,8.0,9.0,,,,,,,,,0,,,2,,,,,,2.0,6.0,,,,,,,5,5,2,2,2,1,2,5,1,2,1,2,1,2,,,,,,2,,,5,4.0,6.0,7.0,8.0,,,,,,,,,,85283.0,190
192,5,5.0,5,5,5,5,3,2,4,4,4,4,4,5,5,4,4,5,5,5,5,B,A,4,2,3.0,4.0,11.0,14.0,,,,,,,,,,,5.0,5,5,5,5,5,5,5,5,5,5,I,J,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,T,E,O,0,,,,,,,,,0,,,1.0,8.0,,,,,,,,,,0,,,1,4.0,4.0,4.0,4.0,4.0,8.0,11.0,,,,,,,3,4,1,1,2,1,1,5,1,1,1,2,1,2,,,,,,1,2.0,1.0,3,4.0,1.0,4.0,8.0,,,,,,,,,,85282.0,191
193,3,4.0,4,2,4,4,4,3,3,2,4,2,2,4,4,4,3,4,4,4,4,E,F,4,3,4.0,5.0,11.0,,,,,,,,,,,,4.0,3,9,4,9,4,4,9,9,4,9,A,F,9,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,4,4,4,D,V,T,0,,,,,,,,,7,8.0,2.0,4.0,9.0,11.0,,,,,,,,,0,,,2,,,,,,7.0,10.0,,,,,,,5,5,1,1,2,1,1,3,2,2,2,2,1,2,,,,,,2,,,4,3.0,6.0,10.0,11.0,,,,,,,,,STOCK MORE FISH          ,85281.0,192
194,9,4.0,4,9,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,E,G,4,2,3.0,4.0,7.0,11.0,12.0,13.0,,,,,,,,,4.0,4,4,4,9,9,9,4,4,4,9,A,J,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,0,,,,,,,,,7,3.0,9.0,3.0,5.0,7.0,8.0,9.0,,,,,,,8,5.0,3.0,1,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,,,,,,4,4,1,1,2,1,1,5,1,2,1,1,1,2,,,,,,1,2.0,2.0,4,4.0,5.0,6.0,10.0,,,,,,,,,,85282.0,193
195,4,4.0,4,4,4,4,4,3,3,2,4,4,4,3,4,4,4,9,4,4,4,E,F,4,2,,,,,,,,,,,,,,,4.0,4,4,4,4,4,3,3,3,5,4,A,J,5,4,4,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,A,T,V,0,,,,,,,,,2,3.0,,4.0,5.0,,,,,,,,,,1,6.0,1.0,1,1.0,1.0,2.0,2.0,1.0,1.0,7.0,,,,,,,5,5,1,2,2,1,9,3,1,1,9,9,2,2,,,,,,2,,,3,3.0,1.0,2.0,6.0,,,,,,,,,,85284.0,194
196,4,4.0,4,4,5,4,4,4,4,4,4,4,4,9,3,4,3,4,4,4,4,A,C,4,2,3.0,4.0,11.0,12.0,14.0,15.0,,,,,,,,,4.0,4,3,3,3,4,3,4,3,4,3,A,H,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,B,D,A,0,,,,,,,,,0,,,2.0,5.0,6.0,7.0,9.0,,,,,,,5,6.0,2.0,2,,,,,,3.0,11.0,,,,,,,5,6,1,1,2,1,1,4,1,2,1,1,1,2,,,,,,1,3.0,3.0,5,4.0,1.0,2.0,8.0,,,,,,,,,,85282.0,195
197,5,4.0,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,9,5,5,5,F,G,5,2,3.0,4.0,8.0,10.0,13.0,,,,,,,,,,4.0,4,4,5,5,4,5,5,5,5,9,A,B,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,T,I,H,0,,,,,,,,,0,,,2.0,5.0,9.0,,,,,,,,,5,2.0,9.0,1,5.0,5.0,5.0,5.0,5.0,7.0,11.0,,,,,,,2,2,2,2,2,1,2,5,1,2,1,1,1,2,,,,,,1,0.0,1.0,4,4.0,1.0,8.0,10.0,,,,,,,,,,85284.0,196
198,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,9,5,9,4,C,A,3,1,2.0,3.0,4.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,14.0,,,,5.0,4,5,5,5,5,3,5,5,5,9,A,G,4,4,4,5,5,5,5,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,I,J,,0,,,,,,,,,0,,,1.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,,,6,3.0,5.0,1,5.0,5.0,5.0,5.0,5.0,2.0,11.0,,,,,,,4,3,2,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,10.0,10.0,5,5.0,1.0,8.0,9.0,,,,,,,,,,85283.0,197
199,5,5.0,5,5,4,4,4,4,3,3,4,3,3,3,4,4,3,3,4,4,4,D,,3,2,3.0,,,,,,,,,,,,,,3.0,3,3,3,3,3,3,3,9,5,3,Z,,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,5,5,5,5,3,3,3,Z,,,0,,,,,,,,,0,,,0.0,,,,,,,,,,,0,,,2,,,,,,0.0,,,,,,,,5,7,2,2,2,1,1,2,2,1,1,2,1,3,,,,,,2,,,9,9.0,2.0,4.0,,,,,,,,,,,85282.0,198
200,4,4.0,3,3,3,3,2,3,3,3,3,3,4,3,4,4,1,3,2,3,1,C,E,2,3,4.0,6.0,10.0,11.0,14.0,,,,,,,,,,4.0,3,3,4,9,9,9,9,9,3,3,A,B,4,4,4,4,2,3,3,1,3,1,3,4,4,4,4,4,4,4,4,3,3,3,H,I,J,0,,,,,,,,,0,,,4.0,5.0,7.0,8.0,11.0,,,,,,,5,4.0,8.0,1,4.0,4.0,4.0,4.0,4.0,2.0,6.0,,,,,,,3,3,1,1,2,1,9,4,1,1,1,1,1,2,,,,,,1,3.0,3.0,4,4.0,2.0,,,,,,,,,,,,85282.0,199
201,4,4.0,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,9,4,4,3,E,G,4,2,3.0,4.0,10.0,11.0,12.0,,,,,,,,,,4.0,9,3,3,4,9,9,4,9,4,9,E,A,4,4,3,4,3,4,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,R,T,L,9,,,,,,,,,2,1.0,6.0,2.0,5.0,9.0,,,,,,,,,5,2.0,9.0,1,4.0,4.0,4.0,4.0,4.0,1.0,8.0,,,,,,,3,3,2,2,2,1,2,5,1,1,1,2,1,2,,,,,,1,1.0,0.0,5,4.0,8.0,,,,,,,,,,,,85284.0,200
202,3,2.0,2,3,2,1,5,3,2,3,2,5,2,2,2,2,2,1,1,5,3,F,E,3,3,4.0,8.0,,,,,,,,,,,,,2.0,4,4,3,4,4,1,4,5,5,5,G,A,5,3,5,5,5,5,4,3,2,2,4,3,4,5,5,5,1,3,4,1,3,2,Q,T,V,0,,,,,,,,,0,,,5.0,,,,,,,,,,,5,8.0,7.0,1,3.0,4.0,4.0,4.0,2.0,2.0,8.0,,,,,,,5,5,1,1,2,1,1,5,1,1,1,2,1,9,,,,,EUROPEAN AMERICAN   ,2,,,3,1.0,7.0,10.0,,,,,,,,,,,85283.0,201
203,4,4.0,4,4,4,5,5,4,4,3,4,9,3,3,5,5,5,9,5,5,5,E,,4,2,3.0,4.0,5.0,8.0,10.0,11.0,13.0,,,,,,,,4.0,4,4,4,4,4,4,3,3,3,3,B,J,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Q,S,F,2,9.0,,,,,,,,2,9.0,7.0,5.0,7.0,9.0,11.0,,,,,,,,5,7.0,9.0,2,,,,,,0.0,,,,,,,,4,3,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,1,2.0,2.0,4,4.0,1.0,2.0,8.0,,,,,,,,,,85283.0,202
204,5,5.0,5,3,4,5,9,3,3,9,4,9,4,4,5,5,5,5,5,5,5,B,C,5,2,3.0,4.0,7.0,11.0,12.0,14.0,,,,,,,,,4.0,9,9,9,9,9,9,4,4,4,9,J,I,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,0,,,,,,,,,0,,,7.0,9.0,,,,,,,,,,0,,,2,,,,,,2.0,11.0,,,,,,,5,7,1,1,2,1,1,5,1,2,1,2,1,2,,,,,,2,,,9,9.0,1.0,,,,,,,,,,,,85284.0,203
205,5,4.0,4,4,5,5,4,5,9,9,4,4,4,4,4,5,5,9,5,5,5,A,F,5,0,,,,,,,,,,,,,,,4.0,9,9,9,4,5,9,5,5,5,9,F,E,5,4,4,4,5,4,5,4,5,4,3,5,5,5,5,5,4,4,4,4,4,4,K,,,0,,,,,,,,,0,,,7.0,9.0,11.0,,,,,,,,,0,,,2,,,,,,1.0,6.0,,,,,,,4,6,1,1,2,1,9,5,1,1,1,2,1,2,,,,,,1,0.0,1.0,4,4.0,4.0,5.0,8.0,,,,,,,,,,85284.0,204
206,9,2.0,3,3,2,4,3,3,3,9,9,3,2,3,2,1,4,3,3,3,4,B,C,5,3,4.0,,,,,,,,,,,,,,5.0,5,5,5,5,5,5,5,5,5,5,E,,5,2,4,9,1,3,4,1,4,2,1,4,5,5,5,4,4,4,3,4,4,4,H,J,K,9,,,,,,,,,9,,,5.0,8.0,,,,,,,,,,6,,,1,4.0,4.0,4.0,4.0,4.0,2.0,6.0,,,,,,,5,3,1,2,2,1,2,5,1,2,1,1,1,2,,,,,,2,,,4,4.0,1.0,2.0,,,,,,,,,,,85282.0,205
207,4,4.0,4,4,4,5,5,9,4,3,9,3,3,3,4,4,3,5,4,4,4,A,C,4,2,3.0,4.0,11.0,13.0,14.0,,,,,,,,,,4.0,2,9,9,9,2,9,5,9,4,9,J,F,4,4,4,1,3,4,3,3,3,3,3,4,4,4,4,3,4,4,4,5,2,3,J,D,A,0,,,,,,,,,7,8.0,6.0,2.0,5.0,9.0,,,,,,,,,1,6.0,5.0,2,,,,,,6.0,11.0,,,,,,,5,4,2,1,2,1,2,5,1,2,1,1,1,2,,,,,,2,,,4,9.0,2.0,5.0,8.0,,,,,,,,,,85284.0,206
208,3,4.0,4,3,4,5,3,3,3,3,2,2,1,9,1,2,5,3,5,5,1,G,A,2,3,6.0,10.0,11.0,,,,,,,,,,,,4.0,4,9,9,2,9,9,9,9,4,9,E,A,4,1,1,9,1,9,9,4,9,3,9,3,4,4,9,3,3,3,3,3,3,3,B,E,C,0,,,,,,,,,0,,,2.0,7.0,,,,,,,,,,2,7.0,,2,,,,,,3.0,6.0,,,,,,,2,3,2,2,2,1,1,2,1,2,1,2,2,2,,,,,,1,0.0,1.0,4,4.0,2.0,6.0,8.0,,,,,,,,,,85283.0,207
209,5,4.0,5,5,5,4,5,5,5,5,4,4,5,5,3,3,3,5,4,4,4,A,C,3,2,4.0,7.0,8.0,11.0,12.0,13.0,14.0,,,,,,,,4.0,9,9,9,9,5,4,5,5,5,4,A,E,4,3,3,3,4,4,5,2,4,2,3,4,5,5,5,5,4,4,5,3,5,4,H,J,T,0,,,,,,,,,7,6.0,9.0,2.0,5.0,9.0,,,,,,,,,0,,,1,5.0,5.0,3.0,5.0,3.0,3.0,10.0,,,,,,,5,6,2,1,2,1,1,5,1,2,1,2,1,2,,,,,,1,2.0,3.0,5,4.0,5.0,6.0,8.0,,,,,,,,,,85283.0,208
210,5,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,E,F,5,3,4.0,5.0,,,,,,,,,,,,,5.0,5,5,5,5,5,5,5,5,5,5,Z,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,T,U,V,6,,,,,,,,,0,,,5.0,,,,,,,,,,,3,5.0,6.0,1,5.0,5.0,5.0,5.0,5.0,6.0,7.0,,,,,,,5,9,2,1,2,1,2,5,9,1,1,1,1,2,,,,,,1,3.0,2.0,5,5.0,1.0,5.0,6.0,,,,,,,,,,85284.0,209
211,4,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,9,2,3,3,C,E,3,2,3.0,7.0,11.0,,,,,,,,,,,,3.0,9,9,9,9,9,9,9,4,4,9,A,,4,3,2,4,3,3,3,1,1,2,2,2,3,3,3,4,4,3,9,9,4,3,H,I,J,0,,,,,,,,,0,,,5.0,7.0,9.0,,,,,,,,,9,7.0,5.0,1,4.0,4.0,4.0,4.0,4.0,2.0,6.0,,,,,,,3,5,1,1,2,1,2,4,1,1,1,2,1,2,,,,,,1,2.0,1.0,5,4.0,2.0,7.0,10.0,,,,,,,,,,85282.0,210
212,4,4.0,4,2,4,4,3,2,3,4,4,4,2,2,2,3,3,9,4,4,4,A,E,3,4,11.0,14.0,,,,,,,,,,,,,4.0,9,2,9,9,4,4,5,5,5,9,A,C,4,2,4,4,2,4,3,2,3,2,4,2,5,5,5,5,5,5,5,5,4,4,E,B,J,0,,,,,,,,,0,,,2.0,5.0,7.0,,,,,,,,,5,2.0,7.0,1,4.0,4.0,3.0,4.0,4.0,3.0,6.0,,,,,,,5,5,1,1,2,1,2,3,1,2,1,2,1,2,,,,,,1,1.0,2.0,3,2.0,1.0,2.0,8.0,,,,,,,,,,85284.0,211
213,4,4.0,4,4,4,3,4,3,3,3,4,4,3,3,3,4,4,9,2,4,3,A,E,4,3,4.0,,,,,,,,,,,,,,4.0,9,9,4,3,3,3,9,4,4,3,Z,,4,3,4,9,1,4,3,3,4,3,4,4,4,4,4,4,2,1,4,2,3,4,R,E,T,0,,,,,,,,,2,6.0,7.0,4.0,5.0,8.0,11.0,,,,,,,,5,11.0,8.0,1,4.0,4.0,4.0,4.0,4.0,8.0,11.0,,,,,,,5,5,2,2,2,1,2,3,1,2,1,1,2,2,,,,,,2,,,9,9.0,1.0,7.0,10.0,,,,,,,,,,85284.0,212
214,4,4.0,4,3,4,3,3,3,3,3,4,4,3,3,4,4,3,4,3,4,4,E,G,3,5,,,,,,,,,,,,,,,4.0,3,3,4,3,3,3,3,3,3,3,Z,,3,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,4,T,E,B,0,,,,,,,,,8,3.0,2.0,5.0,9.0,,,,,,,,,,0,,,2,,,,,,9.0,11.0,,,,,,,4,5,1,2,2,1,1,3,1,1,1,1,1,5,,,,,,2,40.0,8.0,4,3.0,1.0,4.0,8.0,,,,,,,,,,85283.0,213
215,3,3.0,3,2,3,3,3,3,9,9,9,2,2,9,3,4,3,3,3,3,2,Z,,4,2,,,,,,,,,,,,,,,3.0,2,3,3,3,2,3,3,3,4,9,F,J,4,3,2,9,2,3,3,9,3,3,3,3,3,3,3,3,3,3,3,9,2,3,E,C,U,0,,,,,,,,,0,,,2.0,5.0,,,,,,,,,,8,2.0,,2,,,,,,8.0,9.0,,,,,,,4,3,2,2,1,1,2,4,1,2,1,1,1,0,,,,,,2,,,9,9.0,1.0,5.0,6.0,,,,,,,,,,85284.0,214
216,5,4.0,9,5,4,3,4,4,3,5,9,3,3,4,4,4,3,1,4,4,4,D,C,4,2,3.0,4.0,5.0,7.0,11.0,12.0,13.0,14.0,,,,,,,4.0,4,4,4,4,4,9,5,5,5,9,E,F,4,3,3,4,1,4,4,3,4,3,3,4,4,5,9,3,4,1,9,3,5,4,E,R,,0,,,,,,,,,0,,,5.0,6.0,9.0,,,,,,,,,5,6.0,9.0,2,,,,,,4.0,10.0,,,,,,,3,6,1,1,1,2,1,1,1,1,1,1,1,2,,,,,,1,2.0,1.0,4,5.0,5.0,7.0,10.0,,,,,,,,,,85281.0,215
217,4,4.0,4,3,4,3,3,3,3,3,3,2,3,3,4,9,3,9,3,9,4,E,C,4,8,,,,,,,,,,,,,,,9.0,9,9,9,9,9,9,3,9,9,9,Z,,9,4,4,9,4,9,9,3,3,3,3,3,4,4,4,3,3,4,9,3,9,9,P,Q,T,0,,,,,,,,,0,,,5.0,9.0,,,,,,,,,,5,,,2,,,,,,9.0,11.0,,,,,,,5,6,1,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,1.0,0.0,4,9.0,1.0,4.0,8.0,,,,,,,,,,85284.0,216
218,5,5.0,5,9,5,3,5,9,9,9,9,9,9,9,5,5,5,9,4,5,5,E,F,5,2,4.0,11.0,14.0,,,,,,,,,,,,5.0,5,5,5,9,9,9,9,9,3,9,Z,,3,4,4,9,5,9,9,5,5,5,5,5,4,5,5,5,3,9,3,9,3,5,T,A,N,9,,,,,,,,,7,2.0,3.0,5.0,,,,,,,,,,,5,,,2,,,,,,1.0,8.0,,,,,,,4,5,2,2,2,1,2,4,1,1,1,2,1,2,,,,,,2,,,9,9.0,5.0,6.0,10.0,,,,,,,,,,85283.0,217
219,5,5.0,5,9,3,4,9,4,4,4,9,3,4,4,5,5,5,4,4,5,4,E,F,4,2,3.0,4.0,7.0,9.0,10.0,11.0,14.0,,,,,,,,5.0,5,5,9,4,4,9,5,5,5,9,K,E,5,5,5,2,4,3,5,5,5,5,5,5,5,5,5,5,9,4,9,4,5,5,D,T,S,0,,,,,,,,,7,4.0,2.0,2.0,4.0,5.0,8.0,,,,,,,,8,5.0,3.0,2,,,,,,1.0,10.0,,,,,,,4,3,2,1,2,1,1,5,1,2,1,1,1,2,,,,,,1,2.0,1.0,5,4.0,5.0,6.0,8.0,,,,,,,,,,85283.0,218
220,4,4.0,4,3,4,5,3,3,3,3,3,2,3,3,4,4,4,9,5,5,3,G,C,4,3,15.0,,,,,,,,,,,,,,4.0,4,9,9,9,4,9,4,1,4,9,I,F,4,3,4,9,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,H,P,B,2,,,,,,,,,2,8.0,3.0,2.0,3.0,5.0,7.0,9.0,,,,,,,0,,,2,,,,,,8.0,11.0,,,,,,,5,6,2,2,2,1,2,4,1,2,1,2,2,2,,,,,,2,,,3,3.0,1.0,6.0,11.0,,,,,,,,,XERISCAPING              ,85284.0,219
221,4,3.0,4,2,2,3,4,3,3,3,3,2,3,3,5,4,4,3,2,3,4,E,G,4,2,9.0,10.0,13.0,,,,,,,,,,,,4.0,3,2,3,2,1,3,4,4,3,3,F,E,4,4,4,3,4,3,2,3,3,2,4,2,1,3,3,2,4,3,3,2,1,3,U,G,M,0,,,,,,,,,9,6.0,2.0,2.0,3.0,,,,,,,,,,0,,,2,,,,,,4.0,9.0,,,,,,,5,4,2,2,2,1,2,5,1,2,1,1,1,2,,,,,,2,,,3,3.0,4.0,6.0,8.0,,,,,,,,,,85284.0,220
222,4,4.0,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,E,D,4,2,3.0,4.0,,,,,,,,,,,,,4.0,3,3,3,3,4,4,4,4,5,4,Z,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,0,,,,,,,,,0,,,1.0,4.0,5.0,,,,,,,,,4,5.0,1.0,1,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,,,4,5,2,2,2,1,1,3,1,1,1,1,1,2,,,,,,1,1.0,0.0,4,4.0,1.0,5.0,6.0,,,,,,,,,,85283.0,221
223,5,5.0,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,9,4,5,5,E,C,5,2,3.0,4.0,5.0,8.0,12.0,,,,,,,,,,5.0,5,4,5,4,5,5,5,5,5,5,Z,,5,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,T,J,H,0,,,,,,,,,9,7.0,6.0,1.0,3.0,5.0,7.0,8.0,,,,,,,0,,,2,,,,,,10.0,11.0,,,,,,,4,5,1,2,2,1,2,5,1,1,1,1,1,2,,,,,,1,1.0,1.0,5,1.0,6.0,8.0,,,,,,,,,,,85284.0,222
224,9,9.0,9,9,9,9,3,1,1,2,2,2,2,2,3,2,1,2,3,2,2,D,C,3,6,7.0,14.0,,,,,,,,,,,,,9.0,9,9,9,9,9,9,9,9,9,9,F,,9,4,2,2,2,9,9,2,2,2,3,4,4,4,4,4,4,4,4,3,9,2,H,J,C,0,,,,,,,,,2,,,4.0,5.0,8.0,,,,,,,,,5,8.0,4.0,1,2.0,4.0,4.0,4.0,4.0,6.0,,,,,,,,5,5,2,2,2,1,1,5,1,2,1,2,2,2,,,,,,2,,,9,9.0,5.0,6.0,,,,,,,,,,,85283.0,223
225,4,4.0,4,9,4,4,4,9,9,9,9,9,4,4,4,4,3,2,4,3,3,C,D,3,4,8.0,,,,,,,,,,,,,,4.0,9,9,4,9,9,9,4,9,9,9,Z,,9,3,4,9,2,4,4,2,3,2,3,4,4,4,2,3,3,3,3,9,3,3,O,T,,0,,,,,,,,,0,,,1.0,5.0,9.0,,,,,,,,,6,1.0,9.0,2,,,,,,2.0,6.0,,,,,,,5,5,1,2,2,1,1,3,1,1,1,2,1,2,,,,,,1,2.0,1.0,5,1.0,2.0,8.0,,,,,,,,,,,85284.0,224
